Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,Project: Primary PI: Full Name,Project: Other Principal Investigators,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date
UCB-20-20017 Muyanza BASIS MRR (Rwanda),"University of California, Berkeley",Grant Award,Impacts and Sustainability of Irrigation in Rwanda,Florence Kondylis,"PI: Esdras Byiringiro , Maria Jones , Jeremy Magruder",11/17/2019,1,1,Rwanda,0,Allocation,12/16/2020
WBK-20-20059 - Muyanza Impacts and Sustainability of Irrigation (Rwanda),World Bank,Grant Award,Impacts and Sustainability of Irrigation in Rwanda,Florence Kondylis,"PI: Esdras Byiringiro , Maria Jones , Jeremy Magruder",12/23/2020,1,1,Rwanda,0,Allocation,12/23/2020
Secondary Financial Education Aflateen,Massachusetts Institute of Technology (MIT),Grant Proposal,Secondary Financial Education Aflateen,Juan Esteban Saavedra,PI: Lila Rabinovich,5/2/2016,0,1,Peru,0,,5/2/2016
Aflatoun Financial Education in Schools,United States Agency for International Development (USAID),Grant Proposal,Secondary Financial Education Aflateen,Juan Esteban Saavedra,PI: Lila Rabinovich,4/14/2015,0,1,Peru,0,,8/19/2015
Proposal for Chipata-Agriculture based index,United Kingdom Department for International Development (DFID),Grant Proposal,Chipata-Agriculture based index,Ibironke Olofin,PI: Gunther Fink,2/20/2015,0,1,Zambia,0,,2/20/2015
3ie Full Technical Proposal for Youth and Student Employment (DOLE.YeYe),International Initiative for Impact Evaluation (3ie),Grant Proposal,Youth Employment (YeYe) DOLE,Leigh Linden,PI: Emily Beam,12/22/2014,0,1,Philippines,0,,12/22/2014
LSH0001 IMMANA Stage 2 Proposal (Burkina Faso),London School of Hygiene and Tropical Medicine,Grant Award,Measuring the livelihoods of smallholder farmers & testing critical linkages,Andrew D. Jones,"PI: Andrew Dillon , Jennifer Blesh",2/20/2015,1,1,Francophone West Africa,0,,11/4/2015
WEL4986 SME Initiative: Renewal,Wellspring Philanthropic Fund,Grant Award,Credit Report Information Sharing Project (CRISP),Sindy Li,,2/28/2014,1,1,Kenya,0,,6/24/2014
ZCA0001 ZCAHRD - Saving Brains - Improving Early Childhood Devt in Zambia,Zambia Centre for Applied Health Research and Development (ZCAHRD),Grant Award,ZCAHRD - Saving Brains,Davidson Hamer,"PI: Gunther Fink , Peter C Rockers , Arianna Zanolini",6/16/2015,1,1,Zambia,0,,7/10/2015
WBK5139 Data collection/listing activity of CHPS zones & surrounding areas in N. Ghana,World Bank,Grant Award,CHPS Project,Kazumi Inden,"PI: Edit V. Velenyi , Damien de Walque",3/24/2015,1,1,Ghana,0,,5/8/2015
WBK9528 Baseline Data Collection for Community Performance Based Financing (CPBF) Impact Evaluation,World Bank,Grant Award,CHPS Project,Kazumi Inden,"PI: Edit V. Velenyi , Damien de Walque",10/18/2015,1,1,Ghana,0,,6/2/2016
WBK-21-20137: An Endline Feasibility Study of Community-Based Performance-Based Financing (cPBF) (Ghana),World Bank,Grant Award,CHPS Project,Kazumi Inden,"PI: Edit V. Velenyi , Damien de Walque",11/4/2021,1,1,Ghana,0,Allocation,11/4/2021
WBK5444: Financial Literacy through SACCOs (Rwanda),World Bank,Grant Award,Financial Literacy through SACCOs,Bilal Zia,,4/15/2015,1,1,Rwanda,0,,6/2/2015
Learning & Time Consistency: Implications for Long Term Policy Interventions to Promote Microdosing (sub grant),Massachusetts Institute of Technology (MIT),Grant Proposal,Learning & Time Consistency- Implications for Policy Interventions (Microdosing),Andrew Dillon,,1/23/2015,0,1,Francophone West Africa,0,,1/23/2015
3IE1028 Enhancing access to weather index agricultural insurance in Burkina Faso - A new marketing approach.,International Initiative for Impact Evaluation (3ie),Grant Award,Enhancing access to index-based weather agricultural insurance in Burkina Faso,Harounan Kazianga,"PI: Zaki Wahhaj , Christelle Flore",7/15/2016,1,1,Francophone West Africa,0,,7/17/2016
3IE1018 Enhancing access to index-based weather agricultural insurance in Burkina Faso,International Initiative for Impact Evaluation (3ie),Grant Award,Enhancing access to index-based weather agricultural insurance in Burkina Faso,Harounan Kazianga,"PI: Zaki Wahhaj , Christelle Flore",3/5/2018,1,1,Francophone West Africa,0,Allocation,1/30/2018
Follow up BMGF Ag-insurance,Gates Foundation,Grant Proposal,Enhancing access to index-based weather agricultural insurance in Burkina Faso,Harounan Kazianga,"PI: Zaki Wahhaj , Christelle Flore",2/25/2021,0,1,Francophone West Africa,0,,2/23/2021
3IE1018 Enhancing access to index-based weather agricultural insurance in Burkina Faso,International Initiative for Impact Evaluation (3ie),Grant Award,Enhancing access to index-based weather agricultural insurance in Burkina Faso,Harounan Kazianga,"PI: Zaki Wahhaj , Christelle Flore",3/5/2018,1,1,Francophone West Africa,0,External Subaward,1/30/2018
3IE1018 Enhancing access to index-based weather agricultural insurance in Burkina Faso,International Initiative for Impact Evaluation (3ie),Grant Award,Enhancing access to index-based weather agricultural insurance in Burkina Faso,Harounan Kazianga,"PI: Zaki Wahhaj , Christelle Flore",3/5/2018,1,1,Francophone West Africa,0,External Subaward,1/30/2018
3IE1018 Enhancing access to index-based weather agricultural insurance in Burkina Faso,International Initiative for Impact Evaluation (3ie),Grant Award,Enhancing access to index-based weather agricultural insurance in Burkina Faso,Harounan Kazianga,"PI: Zaki Wahhaj , Christelle Flore",3/5/2018,1,1,Francophone West Africa,0,External Subaward,1/30/2018
Impact Evaluation of PSI?s Urban-toilet Franchise model in Liberia (sub-grant),World Bank,Grant Proposal,Urban-toilet Franchise model,Paul Gertler,PI: Joshua Gruber,8/15/2014,0,1,Sierra Leone,0,,8/15/2014
CEBP Proposal for Agriculture Microloans,Coalition for Evidence-Based Policy,Grant Proposal,Agriculture Microloans,Dean Karlan,"PI: Kelly Bidwell , Nathaniel Higgins , Jonathan Zinman , Donald Green",2/14/2014,0,1,,0,,3/19/2014
CEBP Proposal for BoLT - Encore,Coalition for Evidence-Based Policy,Grant Proposal,BoLT - Encore,Jonathan Zinman,,2/14/2014,0,1,,0,,3/19/2014
Duke Global Health Institute Pilot Research - Myanmar,Duke University,Grant Proposal,Maternal Cash Transfer Myanmar,Erica Field,PhD PI: Elisa Maffioli,9/17/2018,0,1,Myanmar,0,,9/17/2018
LDP7034: Pilot for Small Claims Court (Uganda),Law and Development Partnership,Grant Award,Small Claims Court,Tavneet Suri,PI: Suleiman Asman,2/23/2015,1,1,Uganda,0,,6/22/2015
WEL5527 - Long term follow up survey on Youth Opportunity Program NUSAF-YOP (Uganda),Wellspring Philanthropic Fund,Grant Award,NUSAF-YOP - Youth Opportunity Program - 8 year follow-up,Christopher Blattman,"PI: Mathilde Emeriau , Sebastian Martinez , Nathan Fiala",4/17/2015,1,1,Uganda,0,,7/28/2015
Koe Koe Tech Gates Foundation proposal,Gates Foundation,Grant Proposal,KoeKoeTech SME and Customer App,,PI: Russell Toth,4/16/2015,0,1,Myanmar,0,,4/17/2015
"Impacts of a Streamlined Health Clinic Management Information System on Clinic Performance, Organization, and Outcomes",International Growth Centre (IGC),Grant Proposal,Digital Health Records Myanmar,Russell Toth,PI: Julia Driessen,7/15/2018,0,1,Myanmar,0,,8/4/2018
PPE Labor Demand Philippines,Massachusetts Institute of Technology (MIT),Grant Proposal,Labor Demand Philippines,Caroline Theoharides,"PI: Emily Beam , Joshua Hyman",5/2/2016,0,1,Philippines,0,,5/2/2016
Labor Demand Study,Spencer Foundation,Grant Proposal,Labor Demand Philippines,Caroline Theoharides,"PI: Emily Beam , Joshua Hyman",8/20/2015,0,1,Philippines,0,,8/20/2015
Labor Demand Philippines (Returns to Secondary Schooling),Massachusetts Institute of Technology (MIT),Grant Proposal,Labor Demand Philippines,Caroline Theoharides,"PI: Emily Beam , Joshua Hyman",9/15/2015,0,1,Philippines,0,,9/15/2015
"DIV_1M Community Health Workers in Ashanti, Ghana (sub grant)",Earth Institute at Columbia University,Grant Proposal,CHW project - Ghana,Amir Jina,,6/30/2015,0,1,Ghana,0,,7/3/2015
IAD0010: Assessment of Security of Public Transport,Inter-American Development Bank (IDB),Grant Award,Security in Public Transport,Sebastian Galiani,,7/23/2015,1,1,Peru,0,,9/28/2015
Solar Light for Education: An impact evaluation of a solar lights distribution program on educational outcomes,Economic and Social Research Council (ESRC),Grant Proposal,Solar Light for Education,Paul Glewwe,"PI: Amy Damon , Eugénie Maïga",5/14/2015,0,1,Francophone West Africa,0,,5/14/2015
Solar Light for Education: An impact evaluation of a solar lights distribution program on educational outcomes,Global Innovation Fund,Grant Proposal,Solar Light for Education,Paul Glewwe,"PI: Amy Damon , Eugénie Maïga",9/9/2016,0,1,Francophone West Africa,0,,9/9/2016
New Proposal for World Vision Clean stove adoption and use,World Vision,Grant Proposal,WV clean stove,Manuel Barron,,8/10/2015,0,1,Peru,0,,8/11/2015
3ie LOI for IE of MINEDUC topicTBD,International Initiative for Impact Evaluation (3ie),Grant Proposal,IE of MINEDUC topicTBD,Jacobus Cilliers,"PI: Leigh Linden , Andrew Zeitlin , Jeanine Condo , Assumpta Mukabutera , Albert Ndagijimana",6/15/2015,0,1,Rwanda,0,,6/15/2015
CARE Women e-wallets scale-up,"LINDA SCOTT DOUBLE X ECONOMY, LLC",Grant Proposal,CARE Women's eWallets,Linda Scott,"PI: Catherine Dolan 
PhD PI: Anna Custers",7/6/2017,0,1,Uganda,0,,7/31/2017
LIFT Delta 3 Programme Migration and Development,Livelihoods and Food Security Fund,Grant Proposal,Migration and Development,Dean Yang,,6/16/2015,0,1,Myanmar,0,,6/16/2015
IRC0002 Immunization in Northern Uganda,International Rescue Committee (IRC),Grant Award,IRC Immunization in Northern Uganda,Jayne Webster,"PI: Peter Smith , Tracey Chantler",7/10/2015,1,1,Uganda,0,,3/17/2016
"3ie Proposal Preparation for PAMANA Programs, OPAPP, Grant #1",International Initiative for Impact Evaluation (3ie),Grant Proposal,PAMANA Programs- OPAPP,Tilman Brueck,"PI: Aries Arugay , Arnelyn May Abdon , Anastasia Aladysheva , Mary Arends-Kuenning , Eli Berman , Laarni Escresa , Damir Esenaliev , Neil Ferguson , Marites Tiongco , Joesph Felter , Benjamin Crost",5/29/2015,0,1,Philippines,0,,5/29/2015
UCS9437- Cash Benchmarking Study - SPEED 2 (Rwanda),"University of California, San Diego",Grant Award,GiveHealth,Craig McIntosh,"PI: Andrew Zeitlin , Bernard Ngabo Rwabufigiri",12/17/2017,1,1,Rwanda,0,Allocation,12/17/2017
UCS2780: Cash Benchmarking Study - SPEED 1 (Rwanda),"University of California, San Diego",Grant Award,GiveHealth,Craig McIntosh,"PI: Andrew Zeitlin , Bernard Ngabo Rwabufigiri",12/17/2017,1,1,Rwanda,0,Allocation,12/17/2017
RFP Philippine Remittances and HH Finances,Japan International Cooperation Agency (JICA),Grant Proposal,JICA - Philippine Remittances and HH Finances,Slesh Anand Shrestha,,7/6/2015,0,1,Philippines,0,,7/6/2015
Can Increasing Inter-jurisdictional Competition Improve Local Public Service Delivery? (IPA would receive subgrant),Texas A&M University,Grant Proposal,Strengthening Accountability,Jessica Gottlieb,PI: Katrina Kosec,1/15/2016,0,1,Francophone West Africa,0,,1/15/2016
"Mechanisms for Strengthening Accountability to the Rural Poor: 	Evidence from Public Expenditures in Mali",International Growth Centre (IGC),Grant Proposal,Strengthening Accountability,Jessica Gottlieb,PI: Katrina Kosec,6/19/2015,0,1,Francophone West Africa,0,,6/21/2015
Can Increasing Inter-Governmental Competition Improve Local Public Service Delivery? (SUB CONTRACT),International Food Policy Research Institute (IFPRI),Grant Proposal,Strengthening Accountability,Jessica Gottlieb,PI: Katrina Kosec,2/10/2017,0,1,Francophone West Africa,0,,2/21/2017
Can Increasing Inter-Governmental Competition Improve Local Public Service Delivery? Evidence from an Emerging Democrac,Massachusetts Institute of Technology (MIT),Grant Proposal,Strengthening Accountability,Jessica Gottlieb,PI: Katrina Kosec,9/16/2016,0,1,Francophone West Africa,0,,9/16/2016
GI Sept 2019 > Mali Gov,Massachusetts Institute of Technology (MIT),Grant Proposal,Strengthening Accountability,Jessica Gottlieb,PI: Katrina Kosec,9/20/2019,0,1,Francophone West Africa,0,,9/20/2019
"MIT-19-20014 Exploratory visits for Building Institutional Trust, Mali",Massachusetts Institute of Technology (MIT),Grant Award,Strengthening Accountability,Jessica Gottlieb,PI: Katrina Kosec,5/8/2019,1,1,Francophone West Africa,0,,3/22/2019
IGC9213 Search frictions and firm and market growth in Liberia,International Growth Centre (IGC),Grant Award,Search Frictions,Jonas Hjort,PI: Golvine de Rochambeau,3/31/2015,1,1,Sierra Leone,0,,3/24/2016
IGC9404 Strengthening state capacity in health (Sierra Leone),International Growth Centre (IGC),Grant Award,Social Incentives for Child Immunization (SICI),Anne Karing,,3/18/2016,1,1,Sierra Leone,0,,11/11/2016
Bracelets givewell path to scale,GiveWell,Grant Proposal,Social Incentives for Child Immunization (SICI),Anne Karing,,5/27/2020,0,1,Sierra Leone,0,,5/27/2020
"PRI-20-10005 - Follow-up study for the Social Incentive Child Immunization Project (MSA-SOW#2), Sierra Leone",Princeton University,Grant Award,Social Incentives for Child Immunization (SICI),Anne Karing,,2/14/2020,1,1,Sierra Leone,0,Allocation,2/21/2020
"UCH-21-10010 -UChicago: Incentives Scoping (COVID SMS Reminders, COVID Bracelets), Sierra Leone",University of Chicago,Grant Award,Social Incentives for Child Immunization (SICI),Anne Karing,,12/19/2021,1,1,Sierra Leone,0,Allocation,1/11/2022
UCB9064 Berkeley 00009064 Immunization Bracelets,"University of California, Berkeley",Grant Award,Social Incentives for Child Immunization (SICI),Anne Karing,,9/30/2015,1,1,Sierra Leone,0,Allocation,1/4/2016
New EOI for Financial Education For Secondary Level,World Bank,Grant Proposal,Financial Education For Secondary Level,Jeanne Lafortune,,9/9/2015,0,1,Peru,0,,9/9/2015
JCF0002 IPA and Jacobs Foundation Partnership_Ivory Coast,Jacobs Foundation,Grant Award,TRECC - Impact Evaluation,Andrew Dillon,,5/30/2015,1,1,Francophone West Africa,0,,7/30/2015
CIF0007: Living Goods II (Uganda),Children's Investment Fund Foundation (CIFF),Grant Award,Living Goods II,Jakob Svensson,"PI: Martina Björkman Nyqvist 
PhD PI: Andrea Guariso",5/10/2015,1,1,Uganda,0,Allocation,7/10/2015
IGC-20-20018 - COVID Supplement for Living Goods II (Uganda),International Growth Centre (IGC),Grant Award,Living Goods II,Jakob Svensson,"PI: Martina Björkman Nyqvist 
PhD PI: Andrea Guariso",5/29/2020,1,1,Uganda,0,Allocation,1/13/2021
OMI0003 Omidyar Effective Solutions to Education,Omidyar Network,Grant Award,Effective Education Solutions Ghana,Loic Watine,,5/2/2014,1,1,Ghana,0,,1/27/2015
AES0003 Integrated evidence-informed partnerships with three ministries of education,AESTUS Foundation,Grant Award,Effective Education Solutions Ghana,Loic Watine,,10/31/2017,1,1,Ghana,0,,3/19/2018
NSF7294 Escaping Poverty: Cognitive Behavioral Therapy and Social Protection (Ghana),National Science Foundation (NSF),Grant Award,Escaping Poverty,Dean Karlan,"PI: Christopher Udry , Angela Ofori-Atta , Nathanael Goldberg , Gharad Bryan , Elizabeth Bradley , Julia Vaillant , Andre J Nickow 
PhD PI: Nathan Barker",8/18/2017,1,1,Ghana,0,Allocation,3/6/2018
"FRD0008 Escaping Poverty, Ghana",Ford Foundation,Grant Award,Escaping Poverty,Dean Karlan,"PI: Christopher Udry , Angela Ofori-Atta , Nathanael Goldberg , Gharad Bryan , Elizabeth Bradley , Julia Vaillant , Andre J Nickow 
PhD PI: Nathan Barker",7/13/2015,1,1,Ghana,0,,11/12/2015
WEL5514: Escaping Poverty (Ghana),Wellspring Philanthropic Fund,Grant Award,Escaping Poverty,Dean Karlan,"PI: Christopher Udry , Angela Ofori-Atta , Nathanael Goldberg , Gharad Bryan , Elizabeth Bradley , Julia Vaillant , Andre J Nickow 
PhD PI: Nathan Barker",7/3/2015,1,1,Ghana,0,Allocation,8/27/2015
Templeton Foundation Proposal for Escaping Poverty,John Templeton Foundation,Grant Proposal,Escaping Poverty,Dean Karlan,"PI: Christopher Udry , Angela Ofori-Atta , Nathanael Goldberg , Gharad Bryan , Elizabeth Bradley , Julia Vaillant , Andre J Nickow 
PhD PI: Nathan Barker",6/15/2018,0,1,Ghana,0,,6/15/2018
BMG4464 - Gates ID OPP1114464 Financial Services for the Poor Research Fund_US,Gates Foundation,Grant Award,Escaping Poverty,Dean Karlan,"PI: Christopher Udry , Angela Ofori-Atta , Nathanael Goldberg , Gharad Bryan , Elizabeth Bradley , Julia Vaillant , Andre J Nickow 
PhD PI: Nathan Barker",4/9/2015,1,1,Ghana,0,Internal Subaward,6/4/2015
FastGrants CBT Follow-Up Escaping Poverty sample,George Mason University,Grant Proposal,Escaping Poverty,Dean Karlan,"PI: Christopher Udry , Angela Ofori-Atta , Nathanael Goldberg , Gharad Bryan , Elizabeth Bradley , Julia Vaillant , Andre J Nickow 
PhD PI: Nathan Barker",4/12/2020,0,1,Ghana,0,,4/12/2020
MRR Innovation Lab - Endline 2,"University of California, Davis",Grant Proposal,Escaping Poverty,Dean Karlan,"PI: Christopher Udry , Angela Ofori-Atta , Nathanael Goldberg , Gharad Bryan , Elizabeth Bradley , Julia Vaillant , Andre J Nickow 
PhD PI: Nathan Barker",11/17/2019,0,1,Ghana,0,,11/17/2019
FAO-21-10002 : An improved investment agenda through rigorous evidence on the dynamics of underinvestment in  agrifood,Food and Agriculture Organization of the United Nations (FAO),Grant Award,Escaping Poverty,Dean Karlan,"PI: Christopher Udry , Angela Ofori-Atta , Nathanael Goldberg , Gharad Bryan , Elizabeth Bradley , Julia Vaillant , Andre J Nickow 
PhD PI: Nathan Barker",12/2/2020,1,1,Ghana,0,Allocation,6/4/2021
Escaping Poverty Second Endline -- Agency Fund,The Agency Fund,Grant Proposal,Escaping Poverty,Dean Karlan,"PI: Christopher Udry , Angela Ofori-Atta , Nathanael Goldberg , Gharad Bryan , Elizabeth Bradley , Julia Vaillant , Andre J Nickow 
PhD PI: Nathan Barker",4/15/2022,0,1,Ghana,0,,4/15/2022
CAF Proposal for Innovative Savings Product with Banco Caja Social,CAF ? Development Bank of Latin America,Grant Proposal,Innovative Savings Product with Banco Caja Social,Catherine Rodriguez,PI: Juan Esteban Saavedra,9/15/2016,0,1,Colombia,0,,9/15/2016
HAR-21-10011: Credit for Social Change: Water Access and Improved Farming through Better Borrowing (Kenya),Harvard University,Grant Award,Asset Collateralization and Endowment Effects,Michael Kremer,"PI: Joshua Deutschmann , Gautam Rao , Kevin Carney",11/17/2019,1,1,Kenya,0,Allocation,11/10/2021
HAR-20-10005 Can Improved Contracts Improve Access to Finance for Small- Scale Enterprises?,Harvard University,Grant Award,Asset Collateralization and Endowment Effects,Michael Kremer,"PI: Joshua Deutschmann , Gautam Rao , Kevin Carney",6/24/2020,1,1,Kenya,0,,1/29/2021
UCH-22-10012: Using New Asset Collateralized Loans to Encourage Investments (ACE Effects) - Kenya,University of Chicago,Grant Award,Asset Collateralization and Endowment Effects,Michael Kremer,"PI: Joshua Deutschmann , Gautam Rao , Kevin Carney",4/29/2022,1,1,Kenya,0,Allocation,10/18/2022
Asset Collateralized Loan RCT Baseline Survey,Precision Agriculture for Development,Grant Proposal,Asset Collateralization and Endowment Effects,Michael Kremer,"PI: Joshua Deutschmann , Gautam Rao , Kevin Carney",5/19/2022,0,1,Kenya,0,Allocation,5/19/2022
